iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,8880.799000,1.000000,5.000000,2.000000,15.000000,357594.572384,5.027348,357595.111667,357600.112141
2.000000,8890.708000,1.000000,6.000000,3.000000,15.000000,357604.461389,5.020576,357605.004229,357610.004739
3.000000,8902.770000,1.000000,1.000000,1.000000,60.000000,357616.522482,5.025954,357617.013735,357622.014178
4.000000,8912.817000,1.000000,4.000000,1.000000,15.000000,357626.562521,5.020027,357627.081324,357632.081806
5.000000,8922.848000,1.000000,3.000000,3.000000,60.000000,357636.589573,5.025715,357637.090617,357642.082763
6.000000,8932.800000,1.000000,2.000000,2.000000,60.000000,357646.551651,5.019548,357647.024906,357652.025387
7.000000,8943.316000,1.000000,6.000000,3.000000,15.000000,357657.056704,5.027029,357657.559269,357662.559718
8.000000,8955.125000,1.000000,2.000000,2.000000,60.000000,357668.880756,5.020166,357669.368688,357674.369199
9.000000,8965.109000,1.000000,3.000000,3.000000,60.000000,357678.849827,5.026042,357679.377990,357684.378464
10.000000,8974.968000,1.000000,1.000000,1.000000,60.000000,357688.706883,5.024405,357689.195582,357694.196080
11.000000,8984.644000,1.000000,4.000000,1.000000,15.000000,357698.379943,5.022097,357698.871515,357703.863694
12.000000,8994.269000,1.000000,5.000000,2.000000,15.000000,357708.018975,5.022300,357708.555759,357713.556248
13.000000,9004.222000,1.000000,1.000000,1.000000,60.000000,357717.959057,5.021291,357718.440051,357723.432172
14.000000,9014.018000,1.000000,3.000000,3.000000,60.000000,357727.756176,5.026472,357728.249306,357733.249790
15.000000,9023.742000,1.000000,5.000000,2.000000,15.000000,357737.479161,5.026410,357737.958561,357742.959037
16.000000,9033.476000,0.000000,2.000000,2.000000,60.000000,357747.204191,0.000000,0.000000,0.000000
16.000000,9043.007000,1.000000,2.000000,2.000000,60.000000,357756.744269,5.022998,357757.293785,357762.285883
17.000000,9053.276000,0.000000,6.000000,3.000000,15.000000,357767.024329,0.000000,0.000000,0.000000
17.000000,9063.105000,1.000000,6.000000,3.000000,15.000000,357776.827419,5.022145,357777.378964,357782.371130
18.000000,9072.760000,1.000000,4.000000,1.000000,15.000000,357786.484448,5.021363,357786.963210,357791.963703
